Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
3141,194,27,420,50,3695,205,249,163,1040,Commanche Peak,7757,2
2604,154,10,150,4,876,232,241,139,2255,Rawah,7746,2
3208,310,12,571,33,664,186,231,185,939,Commanche Peak,7756,2
3110,94,11,351,32,1805,238,223,115,1581,Rawah,7745,1
2920,21,32,120,-22,324,180,155,93,1065,Rawah,7745,1
2961,56,5,573,48,4050,223,229,141,4572,Rawah,4744,2
2316,31,24,255,14,930,206,181,101,182,Cache la Poudre,2717,3
2813,39,13,510,91,2345,220,211,123,2497,Rawah,4744,2
2670,94,10,150,1,1714,236,225,119,5271,Rawah,7745,2
2937,87,23,180,40,2234,246,196,67,365,Commanche Peak,4758,2
3412,27,4,258,73,1699,218,230,149,1142,Commanche Peak,8771,7
3128,23,24,201,34,2446,199,181,110,765,Commanche Peak,7202,1
3270,114,16,417,108,1561,246,222,99,2729,Rawah,7745,1
2940,42,19,0,0,454,220,196,105,1617,Commanche Peak,7700,2
2809,55,23,108,25,1116,227,184,79,2241,Commanche Peak,7757,2
3221,354,19,108,33,1597,186,204,154,391,Rawah,7202,1
3137,9,9,0,0,1172,210,222,149,2263,Rawah,7746,2
3131,168,19,153,15,2431,231,244,136,3266,Commanche Peak,7757,2
3184,137,24,339,91,242,248,223,89,3048,Neota,7701,1
3037,56,5,446,39,4076,224,228,140,4310,Rawah,7745,1
3337,156,9,395,72,1648,231,241,142,2967,Rawah,7745,1
2959,309,25,420,127,421,143,214,208,1254,Rawah,7746,2
3223,6,7,150,9,5554,211,226,152,872,Rawah,7201,1
2965,62,10,361,38,4745,229,219,122,2903,Rawah,7746,1
3224,84,14,270,86,1744,239,215,103,2556,Rawah,8772,1
3148,108,22,408,-5,2992,251,209,75,1099,Commanche Peak,7756,2
2927,101,10,108,5,4577,236,227,121,4313,Rawah,7745,1
2811,146,11,234,79,1595,235,239,134,2310,Commanche Peak,2705,2
3248,352,7,0,0,1846,208,228,158,2026,Commanche Peak,7202,1
2647,340,10,95,12,95,198,225,166,726,Rawah,7745,2
3164,354,6,331,20,6032,209,229,158,1041,Rawah,7745,1
2942,310,7,108,13,4056,200,235,175,4934,Rawah,7745,2
2891,140,12,242,39,3355,238,236,127,3492,Rawah,7746,2
2937,114,6,212,27,3900,230,234,138,1672,Rawah,4744,2
2972,4,13,162,27,5686,202,214,148,3714,Rawah,7745,1
2943,21,7,604,40,3237,215,224,146,3653,Rawah,4744,2
3045,70,23,180,-37,660,238,190,71,900,Rawah,7745,1
2788,76,9,277,15,2071,231,224,126,2440,Rawah,4744,2
3135,296,8,283,30,1340,197,238,180,2012,Commanche Peak,7756,2
2823,135,5,67,-3,836,229,238,143,85,Rawah,7745,2
3067,256,4,30,1,5508,210,242,170,2335,Rawah,7202,2
2950,36,8,124,-7,3747,220,221,137,1504,Rawah,7745,2
2861,358,22,300,71,768,181,195,147,2123,Rawah,7700,2
3107,168,23,1131,201,3180,231,242,129,1543,Commanche Peak,7757,2
2401,7,11,430,159,1585,207,218,148,722,Cache la Poudre,2717,3
2774,37,23,0,0,4015,213,184,97,853,Rawah,7201,1
3058,231,6,30,2,2860,210,246,172,1631,Commanche Peak,7102,2
3175,33,15,721,158,1812,216,207,123,2474,Commanche Peak,7755,1
3195,200,21,234,37,376,207,253,171,1260,Rawah,7201,1
3113,76,14,361,33,3611,237,213,105,2692,Rawah,7746,1
3315,87,19,342,45,3120,245,204,81,1001,Commanche Peak,8776,1
3348,282,16,918,160,955,173,239,205,882,Neota,7202,1
2777,41,10,443,17,1477,222,217,130,1090,Rawah,4744,2
3084,156,11,95,-10,2317,233,241,139,3407,Commanche Peak,7757,1
2785,356,13,67,6,1602,198,216,155,1489,Rawah,4744,2
3212,185,13,313,49,2801,222,249,157,926,Commanche Peak,7756,2
2834,99,12,0,0,4639,240,222,110,4692,Rawah,6101,2
3145,39,10,805,18,2230,221,218,131,3092,Commanche Peak,7755,1
2936,65,12,60,4,5549,232,215,113,1598,Rawah,7746,1
2271,323,21,331,195,1450,163,214,188,981,Cache la Poudre,4703,3
2826,99,15,120,19,607,244,218,99,2590,Commanche Peak,4704,2
2541,237,39,192,111,1253,124,239,228,1310,Commanche Peak,2704,3
2524,155,28,480,116,459,239,229,100,1242,Commanche Peak,2705,3
2706,7,22,42,11,2469,187,190,134,2117,Commanche Peak,7700,2
2433,201,15,30,7,1800,212,252,171,216,Commanche Peak,2705,3
3209,0,0,0,0,5287,218,237,156,713,Rawah,7101,1
3336,126,13,582,102,1256,241,231,117,2224,Commanche Peak,7756,1
2249,355,18,309,96,1195,188,206,153,684,Cache la Poudre,2717,3
2913,312,7,153,7,4821,202,235,173,3987,Rawah,3502,1
2921,258,25,450,287,1725,152,245,225,1541,Commanche Peak,4758,2
3025,50,7,162,2,808,224,224,135,2049,Rawah,7745,2
2884,127,16,95,11,3312,245,228,108,2810,Rawah,7745,2
2124,128,29,85,37,759,253,207,59,95,Cache la Poudre,2704,4
3295,340,22,85,27,1888,169,203,170,1900,Neota,7202,1
2801,48,22,162,41,1442,222,187,89,2595,Commanche Peak,4704,2
2782,155,26,134,-6,2863,239,232,105,1601,Commanche Peak,4758,2
2772,354,16,256,36,2657,191,210,155,297,Commanche Peak,4703,1
3010,356,15,30,8,2542,194,212,154,1584,Commanche Peak,7757,1
3127,183,13,60,3,2728,223,248,155,1214,Commanche Peak,7202,1
2933,85,11,361,76,3458,236,221,114,2700,Rawah,7745,2
3131,320,11,306,24,5559,192,230,177,720,Rawah,7202,1
3111,331,6,301,6,2486,206,233,165,832,Commanche Peak,7756,1
3081,257,20,470,102,6052,168,247,215,1664,Rawah,7745,2
3171,81,9,433,90,1383,232,225,125,3448,Commanche Peak,7757,1
2090,58,31,90,9,218,225,161,47,488,Cache la Poudre,4703,6
2546,60,8,124,16,738,226,224,132,5298,Rawah,6731,2
3280,233,12,691,189,3903,200,251,187,726,Commanche Peak,7790,2
2624,37,15,210,2,469,219,206,119,1421,Rawah,7745,2
3156,31,21,210,47,3931,209,189,108,2068,Commanche Peak,7700,1
2550,143,7,240,5,484,231,239,141,1418,Rawah,4201,2
2898,216,15,256,22,2460,204,253,182,2275,Commanche Peak,7702,2
2973,11,2,0,0,2003,217,234,155,2697,Commanche Peak,7202,1
3445,92,34,745,160,2062,249,168,19,1698,Rawah,8776,1
2917,74,20,150,33,430,239,199,82,1679,Rawah,7745,2
3159,55,12,30,3,1008,227,215,119,1390,Rawah,7745,1
3206,242,15,541,136,5973,190,251,197,2177,Rawah,7746,2
2927,77,18,170,43,457,240,203,86,1699,Rawah,7745,2
3260,87,10,553,-24,1342,236,223,118,2016,Rawah,7745,1
2829,66,3,335,45,2495,222,233,147,1510,Rawah,7745,2
2741,319,10,30,3,1974,194,231,177,708,Commanche Peak,7755,5
2806,179,26,467,116,3520,221,244,140,1650,Commanche Peak,4758,2
3057,54,14,361,13,4025,228,209,111,3560,Rawah,7745,2
2998,135,3,690,72,5366,224,238,149,6183,Rawah,7745,2
3109,139,9,150,19,1003,235,237,133,1723,Rawah,7201,1
3073,50,16,210,21,1736,225,203,107,2818,Rawah,7745,2
2607,154,13,127,24,537,235,240,133,1172,Rawah,4744,2
2593,162,7,30,-2,2003,227,242,148,2081,Commanche Peak,4703,6
3024,4,23,319,53,2320,182,187,136,2227,Commanche Peak,7700,1
3267,207,4,932,130,2160,217,244,163,2188,Commanche Peak,7755,1
2985,141,12,42,7,4269,238,237,127,2220,Rawah,7745,2
3220,66,10,30,4,553,230,220,122,2046,Rawah,7201,1
3000,341,9,600,79,1624,202,228,164,607,Commanche Peak,7202,2
3016,5,9,300,76,1006,209,223,152,671,Commanche Peak,7756,2
2442,198,5,30,1,618,218,244,162,730,Commanche Peak,4704,3
3270,147,14,319,37,2163,238,238,127,1182,Rawah,7745,2
2601,35,15,212,0,1578,217,206,121,1055,Commanche Peak,4703,6
2739,280,4,150,16,2489,208,240,170,6885,Rawah,7102,1
3081,157,17,446,78,2535,236,240,128,2915,Commanche Peak,7757,2
3142,303,8,90,16,1506,198,236,178,644,Commanche Peak,7202,1
3240,220,4,577,61,4710,215,243,165,2742,Rawah,7201,1
2653,62,6,42,4,67,225,228,138,849,Commanche Peak,6102,2
2807,42,16,60,5,1418,220,202,112,2763,Commanche Peak,7700,1
3203,131,5,182,12,5678,228,237,143,3226,Rawah,7202,2
2723,260,12,95,17,1761,191,246,194,847,Commanche Peak,7757,2
3164,230,8,592,78,256,208,247,176,2763,Commanche Peak,7202,2
2916,27,23,376,103,2790,204,183,106,1681,Commanche Peak,7757,2
3228,182,11,371,35,2322,223,248,156,1598,Commanche Peak,7755,2
2665,52,14,607,22,760,226,208,112,1201,Commanche Peak,4704,3
3014,17,14,120,34,1140,208,209,136,466,Commanche Peak,7700,1
3125,329,14,0,0,4077,186,223,176,1670,Rawah,7202,1
2681,67,26,306,171,973,235,178,59,1127,Commanche Peak,7757,2
3181,172,16,319,8,552,229,246,143,2621,Neota,7756,1
3029,114,8,108,5,4175,233,233,131,2567,Rawah,7745,2
3403,32,9,618,164,3208,218,221,138,1924,Commanche Peak,8772,7
3056,18,4,210,34,1998,217,231,152,1510,Rawah,7745,1
2929,76,11,216,39,3407,234,220,117,2307,Rawah,4744,2
2858,162,3,0,0,990,222,240,153,618,Commanche Peak,7202,2
3197,97,17,700,261,1252,245,214,93,2394,Commanche Peak,7757,2
3270,67,10,309,92,1001,231,219,120,1738,Rawah,7201,1
3126,141,24,242,64,2335,247,225,92,1593,Commanche Peak,7709,1
3020,331,8,384,48,2480,201,230,168,391,Rawah,7745,1
3110,83,12,150,39,360,237,219,112,731,Commanche Peak,7756,2
2821,150,9,85,-21,3482,232,240,139,1922,Commanche Peak,7756,2
3234,100,13,162,28,60,241,222,110,671,Neota,7756,2
3133,213,15,127,11,1902,205,253,180,638,Commanche Peak,7755,1
2800,34,32,255,104,1841,196,152,71,819,Commanche Peak,7757,2
3064,158,26,60,10,3679,237,234,110,5216,Rawah,7746,1
2465,232,8,0,0,845,207,248,178,850,Commanche Peak,2705,3
2730,129,3,240,20,1020,225,237,148,2010,Rawah,4744,2
2891,356,3,0,0,5656,214,234,157,1050,Rawah,7202,2
3168,35,15,454,74,480,217,205,119,1601,Rawah,7201,2
2689,147,15,301,104,1874,239,237,124,2726,Commanche Peak,2705,6
2496,50,11,210,10,297,225,215,123,1167,Commanche Peak,4703,3
2961,29,20,342,142,1911,209,192,112,2730,Commanche Peak,7757,2
2965,168,9,240,0,4535,228,244,148,4827,Rawah,7745,2
2446,312,28,95,42,752,132,206,208,1511,Cache la Poudre,4703,3
3184,150,10,242,51,1082,233,240,137,1987,Neota,7202,1
3241,25,7,0,0,3403,217,225,145,2012,Rawah,7745,1
2775,329,17,390,81,1140,177,217,179,1063,Commanche Peak,7756,2
3192,82,9,382,44,5768,233,225,124,1777,Rawah,7745,1
3034,267,14,693,43,5833,184,245,200,5301,Rawah,4744,1
2943,81,5,30,1,1897,226,231,140,2525,Commanche Peak,7101,2
2370,148,9,0,0,513,233,239,138,888,Commanche Peak,2703,3
2983,209,6,120,21,1602,216,246,166,1698,Commanche Peak,7756,2
3254,161,22,408,109,1290,236,239,121,1754,Neota,7757,1
2590,20,12,30,6,1071,211,213,137,1663,Commanche Peak,4704,2
2533,131,10,342,29,67,237,235,127,1964,Cache la Poudre,2717,3
2737,61,18,30,-3,1177,232,199,93,2007,Commanche Peak,7102,1
2772,16,3,240,38,1482,217,232,153,1794,Rawah,4744,2
3010,146,3,270,33,4760,224,239,150,3537,Rawah,7745,2
2859,37,7,283,10,3025,220,224,139,2456,Rawah,7745,2
3256,227,15,95,1,3602,197,253,190,1578,Commanche Peak,7756,2
3182,155,13,607,-24,604,235,241,133,1950,Commanche Peak,7757,2
3257,213,8,362,-17,2758,213,248,170,437,Commanche Peak,7202,1
2732,92,29,150,84,150,250,181,38,2477,Rawah,7746,5
3410,14,18,376,184,4444,200,199,132,3876,Commanche Peak,8772,7
2695,327,11,256,42,886,193,228,174,1478,Rawah,7745,2
2815,260,8,30,3,2239,200,245,183,2017,Commanche Peak,4758,2
3113,64,13,362,-6,2066,232,213,111,2465,Rawah,7745,1
3204,286,9,524,64,6008,195,240,184,2690,Rawah,7201,2
3054,81,10,0,0,3596,233,223,121,5248,Rawah,7746,1
3016,1,15,201,37,5070,198,211,150,1064,Rawah,7745,2
2827,164,12,309,46,1557,231,243,141,1369,Commanche Peak,4704,2
2304,34,32,283,172,999,197,152,71,1463,Cache la Poudre,4703,3
2831,85,13,108,34,2352,238,218,109,3020,Rawah,4744,2
3076,351,20,42,9,1888,180,202,157,1777,Commanche Peak,7202,2
3306,315,19,95,38,5448,166,221,194,874,Rawah,8771,1
3029,58,21,255,18,4620,230,191,85,2676,Rawah,7745,1
2961,152,25,685,295,2379,241,232,105,1771,Commanche Peak,2705,7
3133,115,11,295,25,5582,239,229,119,947,Rawah,7745,2
3356,25,19,212,35,2296,207,195,118,1974,Commanche Peak,7755,1
3037,189,10,713,65,5699,221,247,160,6481,Rawah,4744,2
3327,123,5,842,100,4650,228,236,142,1718,Rawah,8771,7
3027,72,5,671,62,5611,225,231,141,5878,Rawah,4744,2
3086,132,6,127,9,2429,229,237,141,2032,Commanche Peak,7756,1
2883,20,17,228,56,3650,207,203,129,5855,Rawah,7745,2
3176,247,22,212,33,2080,169,250,214,3210,Rawah,7745,1
2909,81,18,228,57,3496,242,205,86,5143,Rawah,7745,2
2913,275,8,240,13,5305,198,242,184,4597,Rawah,7202,2
2997,348,9,134,10,2670,203,225,161,2355,Commanche Peak,7202,1
3127,68,4,295,20,5579,224,231,142,781,Rawah,7745,1
3219,114,19,60,11,2676,249,217,87,285,Commanche Peak,8772,7
2767,34,7,466,-20,765,219,225,142,972,Commanche Peak,4704,2
2981,287,10,663,-53,1521,193,240,187,1897,Commanche Peak,7755,2
3419,227,9,750,151,3605,207,249,179,301,Commanche Peak,8771,1
2936,36,21,150,27,4602,213,188,101,4605,Rawah,7202,1
2368,256,17,242,98,1140,179,248,206,309,Cache la Poudre,4703,6
2956,308,19,859,585,942,165,225,199,2249,Commanche Peak,7756,2
2932,251,9,570,52,3544,201,246,183,3925,Rawah,4744,2
3247,146,7,85,6,5460,230,239,142,685,Rawah,8771,2
3054,253,16,90,17,2274,183,249,203,488,Commanche Peak,7756,2
2833,112,18,190,54,658,248,219,93,1024,Rawah,7746,2
2659,53,26,124,27,858,224,175,70,1809,Rawah,4744,2
2995,72,3,601,69,5220,223,233,146,6195,Rawah,7102,2
2942,356,13,242,-35,4501,198,216,155,2044,Rawah,7201,2
1993,68,23,30,19,270,236,189,73,661,Cache la Poudre,2702,3
2374,88,23,319,149,525,247,196,67,1790,Cache la Poudre,2704,4
3239,49,14,902,67,1431,225,209,115,2766,Neota,7202,2
3015,159,18,108,19,2162,236,240,127,1302,Commanche Peak,4758,2
3036,280,23,0,0,2220,151,235,221,725,Commanche Peak,4758,2
2992,232,15,60,18,3311,194,252,193,1262,Commanche Peak,7756,1
3249,341,11,170,50,247,197,224,165,1437,Neota,7202,1
2651,313,8,30,0,2047,199,234,175,2382,Commanche Peak,4703,6
3181,117,8,228,41,808,235,232,129,2317,Rawah,7201,1
2847,45,11,277,29,2544,223,216,126,2874,Rawah,7745,2
3112,113,13,228,-15,968,241,227,113,2202,Rawah,7745,2
3196,20,10,524,11,2126,214,220,142,1064,Commanche Peak,7755,1
2903,14,15,108,13,4755,205,209,138,1509,Rawah,7746,2
3216,249,17,108,11,3051,182,250,205,1106,Commanche Peak,7755,1
2918,73,19,108,33,1879,238,201,86,2268,Commanche Peak,7756,2
3365,190,11,745,153,1123,220,249,161,2230,Commanche Peak,7756,1
2991,18,2,295,13,3194,217,234,154,6083,Rawah,7745,1
3216,115,4,272,14,2527,227,236,144,1355,Commanche Peak,7202,2
3218,123,15,591,86,661,244,228,110,5711,Neota,7201,1
3102,86,8,30,0,5161,232,227,129,2147,Rawah,7202,1
3081,242,9,446,11,2647,202,248,183,1981,Commanche Peak,7756,1
2537,63,5,256,13,1237,225,229,139,4187,Rawah,6731,2
2728,170,31,180,-27,2837,225,235,118,1695,Commanche Peak,4758,2
2839,21,19,365,51,1615,204,196,123,2345,Commanche Peak,7757,2
3199,307,11,618,26,1844,188,233,185,391,Commanche Peak,7202,1
3391,243,12,301,51,3062,196,250,190,1926,Rawah,8772,1
3242,84,21,108,19,2432,244,199,0,488,Commanche Peak,8772,7
2362,27,27,255,94,350,198,171,96,1044,Cache la Poudre,4703,2
3010,253,13,408,65,5851,189,248,197,1809,Rawah,7745,1
2964,54,16,481,83,1814,228,204,105,3115,Commanche Peak,7757,2
3139,0,3,85,3,2684,215,234,156,1250,Rawah,7202,1
3304,357,4,162,-27,1445,213,232,157,1831,Neota,7202,1
3156,36,19,300,50,1034,215,195,108,1972,Commanche Peak,7201,1
2870,203,10,446,34,2418,215,250,168,1992,Commanche Peak,7702,5
2789,338,3,247,12,2242,214,235,160,2584,Rawah,4744,2
3109,357,15,277,25,1920,196,212,153,2635,Rawah,7745,2
2936,290,6,618,30,5560,202,239,176,2103,Rawah,7745,2
2694,28,8,175,23,2197,217,223,141,1948,Commanche Peak,7756,6
2285,348,27,108,61,309,160,185,157,1107,Cache la Poudre,4703,3
2256,208,13,30,3,446,210,252,174,525,Cache la Poudre,4703,3
3208,348,6,120,-16,3918,209,231,160,1426,Rawah,7201,1
2522,133,24,192,76,658,250,221,85,872,Commanche Peak,2705,3
3155,130,20,60,12,4270,248,224,95,2058,Rawah,7745,1
2955,58,19,42,3,365,230,197,92,331,Commanche Peak,7757,2
3165,330,14,67,20,2613,185,222,176,466,Commanche Peak,7201,1
3058,338,4,108,5,1680,210,233,162,1677,Commanche Peak,7202,1
3087,90,28,255,41,3312,249,184,44,646,Commanche Peak,7757,1
3163,141,13,180,5,2497,239,236,125,577,Commanche Peak,7755,1
3008,37,14,335,41,4795,219,209,123,1544,Rawah,7745,1
2890,277,8,331,35,3818,198,242,183,5476,Rawah,7745,2
2310,100,16,85,30,607,245,215,94,811,Cache la Poudre,2705,3
3253,162,2,390,110,4669,220,239,155,819,Rawah,7745,2
2990,204,12,30,-7,1504,213,251,171,2490,Commanche Peak,7201,1
3105,79,4,0,0,2257,224,233,144,2297,Rawah,7202,1
2984,193,22,170,46,750,212,251,164,1664,Commanche Peak,7757,2
3200,321,16,192,55,2592,179,223,184,361,Commanche Peak,7757,1
3233,27,15,864,108,2182,212,207,128,2251,Commanche Peak,8771,7
3059,86,11,30,6,1718,236,222,117,1944,Commanche Peak,7202,1
3125,103,16,175,23,1024,245,217,96,2220,Rawah,7745,2
2986,328,15,85,14,2638,182,221,179,706,Commanche Peak,7756,1
3152,107,65,192,-5,3039,210,71,0,1198,Commanche Peak,7756,2
3382,62,28,256,99,5073,230,170,54,175,Rawah,8772,1
3187,18,2,376,38,1101,218,235,155,1952,Neota,7202,1
2613,337,49,134,58,1747,69,121,158,1436,Commanche Peak,4758,6
3155,80,8,42,0,4547,231,225,127,2981,Rawah,7202,1
2749,203,7,170,18,2591,217,247,166,6683,Rawah,4744,2
3386,199,16,268,41,2418,212,252,170,3392,Neota,7756,1
2191,20,29,127,6,366,186,166,102,711,Cache la Poudre,4703,6
2830,124,24,433,55,1991,252,215,76,1969,Commanche Peak,4758,2
2995,49,5,330,23,5305,222,229,143,6381,Rawah,7745,2
2531,323,20,30,13,691,165,215,187,1366,Commanche Peak,4703,2
3004,128,11,638,87,5430,238,233,125,2952,Rawah,7746,2
2711,64,25,0,0,2526,234,181,65,2167,Commanche Peak,7700,1
2910,41,14,360,55,684,221,209,121,1008,Commanche Peak,7756,2
3132,292,3,713,77,1956,212,238,165,2588,Commanche Peak,7756,1
3018,126,12,297,-25,4334,240,231,119,2423,Rawah,7745,2
2570,131,10,218,25,469,237,235,127,1203,Rawah,4201,2
3338,191,11,323,70,3371,220,249,162,313,Commanche Peak,8771,1
2158,310,29,201,88,658,131,207,210,882,Cache la Poudre,4703,6
3259,339,13,60,5,2029,191,221,168,1935,Neota,7202,2
3518,111,18,871,233,2454,248,217,90,1182,Rawah,8776,1
3217,75,11,124,0,1544,234,218,115,658,Commanche Peak,7756,2
3175,45,4,362,23,6100,221,230,145,994,Rawah,7745,1
2811,346,9,175,23,3163,203,226,161,6192,Rawah,4744,2
2725,221,29,285,80,3209,173,252,201,1630,Commanche Peak,2705,3
3004,16,7,484,31,2904,214,226,148,150,Rawah,7201,1
2712,34,14,90,5,1048,217,209,124,1800,Rawah,4744,1
3204,207,11,350,110,3238,213,250,171,888,Commanche Peak,7757,1
2901,140,25,330,74,967,248,223,87,474,Rawah,7746,1
3440,111,7,849,266,3296,233,232,131,1597,Commanche Peak,8771,7
2913,16,11,457,58,3974,211,217,142,5568,Rawah,7745,2
2750,160,5,153,25,934,225,241,150,470,Commanche Peak,2703,3
