Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type
3125,160,28,240,50,3395,235,233,108,1054,Commanche,7757
3263,307,5,85,23,5430,207,237,169,277,Rawah,8771
3143,151,13,150,16,2054,236,240,131,3177,Commanche,7757
3348,216,23,751,172,3472,190,254,191,2630,Rawah,7745
3004,160,11,190,28,984,231,242,141,1184,Commanche,7756
3251,17,11,787,103,6114,211,218,142,1500,Rawah,7745
3240,132,12,30,4,3767,240,233,121,4070,Rawah,8772
3269,15,7,335,81,361,214,225,148,1437,Neota,7202
3212,37,7,426,69,324,220,224,140,967,Commanche,7756
3179,347,17,469,121,4073,185,210,162,721,Commanche,7700
3179,278,8,153,21,5710,197,242,184,2165,Rawah,7201
2912,43,9,618,114,3235,222,221,134,631,Commanche,7757
2327,91,13,30,-14,150,240,219,108,180,Commanche,4703
3106,65,12,60,20,3091,232,215,113,5264,Rawah,7745
3093,296,20,150,50,240,161,230,208,1945,Neota,7201
2641,48,11,366,69,1146,224,215,123,812,Commanche,4704
2991,104,15,277,53,2040,245,219,99,1844,Commanche,7755
2676,356,20,361,80,2275,183,199,151,1634,Commanche,4703
2713,188,19,400,-16,2248,218,250,158,2389,Commanche,2705
2543,197,32,192,108,170,193,247,166,703,Commanche,2704
2814,153,4,180,10,3252,225,240,150,6103,Rawah,4744
3150,337,22,531,63,3637,167,204,173,1600,Commanche,8772
2956,29,9,67,-1,2448,217,221,139,1947,Commanche,7201
3224,131,5,127,12,960,229,237,142,2407,Commanche,7202
2564,113,5,361,118,618,230,234,138,1041,Commanche,2705
3011,283,13,700,102,5945,184,240,196,3420,Rawah,7745
3325,121,8,335,40,1690,235,233,130,1974,Rawah,8771
3153,286,18,870,378,1087,169,237,207,1471,Commanche,7757
2747,327,5,108,26,2402,208,234,165,6385,Rawah,7745
2853,67,4,85,14,531,223,232,144,390,Commanche,7755
2556,40,23,120,20,2681,215,184,93,755,Commanche,4704
3264,199,9,134,4,1931,217,248,166,3960,Neota,7756
2952,30,12,875,154,2663,216,214,132,666,Commanche,7755
2891,336,11,108,8,2886,195,225,169,1831,Commanche,7201
3217,0,2,573,38,5902,216,235,156,2678,Rawah,7745
3206,288,7,283,22,752,201,240,178,1717,Commanche,7755
3047,127,25,242,59,256,252,215,76,1616,Commanche,7201
3044,41,4,201,40,67,220,230,146,684,Rawah,7201
2791,2,9,485,69,3013,208,224,153,1348,Commanche,7756
2760,73,6,124,14,433,227,229,136,2684,Commanche,7755
3261,353,6,361,25,5925,210,230,158,890,Rawah,7201
2654,110,10,400,20,677,238,229,120,1565,Rawah,4744
2625,107,14,150,-8,808,243,223,106,1752,Rawah,7745
2914,355,11,60,10,3141,202,221,156,2133,Commanche,7201
2850,73,29,240,-79,400,239,172,45,2072,Rawah,7746
2683,67,8,560,-26,781,228,224,129,1766,Rawah,7745
2775,58,6,277,18,1892,225,227,137,2814,Rawah,4744
3032,331,20,595,209,616,168,211,180,1343,Rawah,7746
3028,293,20,300,-8,3245,160,231,210,1710,Commanche,7700
2951,140,8,497,38,3896,233,238,137,4390,Rawah,4744
2780,254,35,60,30,1167,119,236,240,1392,Commanche,4758
3100,73,12,30,-8,4010,234,217,113,2940,Rawah,7745
3024,63,13,350,18,2932,231,214,113,1380,Commanche,7756
2387,295,18,42,12,636,167,232,205,1390,Cache,4703
3218,13,22,420,81,1338,193,190,128,201,Rawah,7201
2518,36,29,42,0,782,204,163,78,1358,Commanche,4703
2914,173,8,540,1,3743,225,244,152,4166,Rawah,4744
2715,297,23,90,46,1500,149,225,214,1348,Commanche,7757
2815,64,6,283,77,1121,226,228,136,488,Commanche,7756
2909,340,24,182,77,190,163,197,169,1071,Rawah,7746
2898,291,34,180,94,1982,106,211,234,1207,Commanche,4758
2959,90,12,306,40,4924,239,220,110,5622,Rawah,4744
2897,148,6,376,49,3062,228,240,145,2297,Rawah,4744
3274,269,22,67,19,3945,157,242,221,1243,Rawah,7745
3296,134,31,488,164,3479,250,210,63,499,Commanche,8772
3213,333,6,90,-9,4159,205,232,165,1187,Rawah,7201
2879,32,13,458,173,2905,216,211,128,1758,Rawah,7745
2685,58,16,120,48,932,230,204,102,1176,Commanche,7757
3081,159,20,1025,179,3189,236,240,125,1638,Commanche,7757
3414,117,15,323,176,3811,244,225,106,3394,Commanche,8772
2653,268,21,0,0,1401,161,243,218,990,Commanche,7202
3250,217,14,774,169,6192,204,253,182,2167,Rawah,7745
2914,101,6,30,-3,1950,230,232,135,433,Commanche,7202
3103,217,16,351,8,2479,202,254,184,979,Commanche,7202
3085,253,6,180,-9,2268,207,244,175,1063,Commanche,7202
3022,169,20,300,41,1830,231,244,135,1509,Rawah,7745
2940,64,35,402,123,902,227,147,22,726,Commanche,7757
2915,315,18,108,4,2823,169,222,192,450,Commanche,7756
2821,114,5,30,0,2875,228,235,141,4146,Rawah,7202
3013,36,11,124,20,845,219,216,131,1400,Commanche,7202
2553,341,18,90,17,1376,179,210,168,1480,Commanche,4703
2753,82,25,90,43,255,245,187,56,1362,Rawah,7746
3139,283,14,0,0,4441,181,240,198,3569,Rawah,7201
3287,356,10,240,14,1863,204,223,156,1326,Commanche,7755
2650,97,15,108,37,2279,243,217,99,2436,Commanche,4704
2448,15,11,458,178,912,210,217,143,990,Cache,2717
3054,117,4,30,0,1189,227,236,143,3092,Commanche,7202
2825,66,10,0,0,1230,230,220,122,2352,Commanche,7102
2811,287,27,180,90,1120,134,226,227,1616,Commanche,4758
3205,125,6,600,53,5842,230,236,139,1201,Rawah,7745
2669,331,24,67,17,1638,158,203,181,1338,Commanche,7700
3249,31,4,30,-2,4155,219,230,148,1871,Rawah,8771
2859,103,4,0,0,3403,227,234,141,4938,Rawah,7102
3092,18,19,180,55,2379,201,197,127,924,Commanche,7757
2915,58,18,85,-11,331,230,198,94,488,Rawah,7745
2903,86,10,300,49,3968,235,223,119,5757,Rawah,4744
3187,198,3,85,14,1113,218,242,160,67,Commanche,7202
2698,349,22,450,193,942,174,197,158,636,Commanche,7757
3174,337,10,228,-3,1104,197,225,167,765,Neota,7700
3257,354,13,60,14,1233,197,216,156,1747,Neota,7202
2949,249,13,426,53,5896,191,249,195,6159,Rawah,7745
3130,34,21,277,54,755,211,189,105,1633,Commanche,7757
2996,209,11,426,106,5328,212,250,172,967,Rawah,7746
3121,335,13,319,5,2215,189,221,171,2438,Commanche,7756
2798,228,34,212,131,1657,152,247,214,1503,Commanche,2705
2861,75,18,350,170,366,239,203,88,1493,Rawah,7746
3037,0,0,30,0,2647,218,238,156,895,Commanche,7202
3185,289,10,30,1,1507,192,239,187,2510,Commanche,7202
3412,238,10,708,144,3589,201,249,185,277,Commanche,8771
2753,139,17,0,0,2496,243,232,112,926,Commanche,4703
3210,72,1,60,0,5246,219,237,154,797,Rawah,7201
2737,66,24,30,11,180,235,186,69,2161,Rawah,7746
3358,299,6,511,-17,3204,202,238,175,1764,Rawah,8772
3059,0,6,175,9,1116,212,229,155,1784,Rawah,7745
2966,107,18,201,74,3596,247,216,90,2856,Rawah,7745
3201,31,4,366,32,1482,219,230,148,2131,Neota,7202
3197,191,15,272,106,3626,218,251,162,492,Commanche,7757
3164,37,7,886,-59,940,220,224,139,1725,Rawah,7745
3011,301,1,0,0,5075,215,238,161,2596,Rawah,7202
2791,163,13,150,23,2938,232,243,140,2280,Rawah,4744
3208,356,10,108,7,3153,204,222,156,4952,Rawah,7745
3296,18,12,636,123,1116,211,215,140,2349,Rawah,7202
3177,0,7,150,14,2713,210,228,155,1168,Commanche,7202
3131,22,15,201,18,1707,209,206,130,1919,Commanche,7700
2948,80,15,218,24,1740,239,212,100,1103,Rawah,7745
2199,17,21,60,9,942,197,190,123,342,Cache,4703
2495,35,26,42,0,671,207,173,88,1415,Commanche,4703
2802,236,12,60,14,2082,199,250,188,1907,Commanche,4758
2853,102,23,242,55,2938,251,202,66,153,Commanche,4703
2124,289,22,124,80,162,151,231,217,924,Cache,4703
2961,317,12,120,21,3182,188,230,181,1279,Commanche,8772
2972,350,7,210,-8,3905,208,228,159,1426,Rawah,7745
3178,354,19,443,116,4062,186,204,154,691,Commanche,7700
2689,225,6,60,-4,764,212,245,170,1401,Rawah,4744
3136,150,13,30,4,3108,236,239,131,3339,Rawah,8772
3410,231,26,767,287,3333,168,252,211,2717,Rawah,8772
2918,72,11,150,12,2220,233,219,117,2322,Rawah,7745
3181,53,2,285,20,1142,221,234,150,1988,Neota,7101
2937,66,10,0,0,1531,230,219,121,3378,Rawah,7202
3086,308,15,268,52,2773,177,229,192,5933,Rawah,7745
2863,38,8,134,-1,1302,220,223,138,2203,Rawah,7745
2601,74,34,120,74,811,237,156,22,891,Commanche,4758
3083,61,6,361,46,2783,225,227,136,1477,Commanche,7756
2872,50,11,212,30,2375,225,215,123,1177,Commanche,7202
2889,324,8,0,0,2474,200,231,171,162,Commanche,7202
2580,108,16,175,56,1529,245,220,98,1481,Commanche,2705
3483,85,28,805,249,2117,246,180,43,1668,Rawah,8776
3058,49,22,469,70,990,223,188,89,1110,Commanche,7757
3431,58,6,342,-43,1084,225,227,137,793,Neota,8771
3165,268,19,816,101,3478,169,244,213,2145,Commanche,7755
2591,228,23,212,64,900,180,254,203,1471,Commanche,2705
3217,348,18,306,69,888,185,209,161,2040,Rawah,7745
2671,38,6,124,5,1490,220,227,143,1041,Rawah,7745
3268,0,0,0,0,5616,218,238,156,830,Rawah,8771
3180,75,21,30,17,2285,240,197,78,2741,Rawah,7745
2971,83,12,426,150,350,237,219,112,470,Commanche,7757
2936,275,9,360,30,5485,197,242,185,4785,Rawah,7745
2834,25,8,192,0,1188,216,223,143,2742,Commanche,4704
3171,336,5,30,0,3692,209,233,162,1616,Rawah,7202
3076,70,6,153,36,4777,227,228,135,457,Rawah,7746
3009,45,12,832,190,1172,223,214,123,2465,Commanche,7756
2784,36,11,350,21,1489,219,216,131,1184,Rawah,4744
3086,162,5,450,-22,6440,225,241,150,2881,Rawah,7745
2818,98,23,589,282,1295,250,201,67,976,Commanche,4758
3291,79,7,95,6,4522,230,227,130,3759,Commanche,7202
2445,205,19,90,19,1864,205,254,177,162,Commanche,2705
2848,235,15,30,3,1312,192,252,195,1948,Commanche,2705
3178,10,4,450,36,3109,215,231,153,4138,Rawah,7745
3151,10,17,420,10,2195,199,203,138,1448,Commanche,7756
3107,39,13,541,32,1282,220,210,122,2765,Commanche,7757
3200,101,5,0,0,2403,228,233,139,1518,Commanche,7202
2868,27,23,270,80,1667,204,183,106,2438,Commanche,7757
3143,11,10,335,52,1673,210,221,147,3436,Commanche,7755
2935,118,9,0,0,1426,237,232,126,3340,Rawah,7202
3421,291,16,793,228,4772,174,236,202,2906,Commanche,8772
2961,51,16,162,-5,553,226,203,106,446,Rawah,7745
3267,102,14,90,3,1357,242,221,105,3180,Neota,7202
2244,90,32,60,30,1440,249,171,25,732,Cache,2705
2340,174,9,67,9,234,226,245,152,451,Commanche,2704
2929,117,7,0,0,3686,232,234,135,6300,Rawah,7745
2935,88,6,30,0,1201,230,229,133,2285,Rawah,7202
2724,141,9,90,8,1481,234,238,135,2177,Rawah,4744
2690,15,27,134,82,2341,186,174,114,6960,Rawah,7745
2932,177,18,256,-9,5550,226,247,147,3750,Rawah,7745
2763,112,8,0,0,3845,234,232,130,1222,Rawah,7202
2878,56,15,30,1,513,229,206,106,1727,Rawah,7745
3338,109,11,601,-24,552,240,227,116,516,Neota,8771
3271,171,6,420,95,3386,224,243,153,2893,Rawah,7202
3081,72,9,150,22,700,231,223,125,1641,Commanche,7756
2663,35,10,162,14,437,219,219,135,1235,Rawah,7745
2899,52,10,212,46,3331,226,218,125,2710,Rawah,7745
2305,344,28,153,82,256,154,185,162,1142,Cache,4703
2988,23,4,150,-9,4487,218,231,151,2467,Rawah,7745
2613,204,31,0,0,2241,186,249,178,631,Commanche,2705
2982,185,9,240,30,4422,222,246,158,5468,Rawah,4744
2883,255,5,30,0,1643,207,243,174,1541,Commanche,7756
2518,314,27,309,137,782,140,208,203,1240,Cache,4703
2886,204,10,242,51,1095,214,250,169,1802,Commanche,4758
2945,60,8,518,110,937,226,224,132,2118,Rawah,4744
2933,74,22,42,-13,525,240,193,73,458,Rawah,7201
2883,335,13,175,28,2726,191,223,171,2704,Rawah,7745
3020,57,22,175,72,285,229,187,81,1481,Commanche,7700
3183,270,2,242,7,4925,214,239,163,2375,Rawah,7745
3035,81,3,309,42,2676,223,234,146,350,Rawah,7745
2993,99,9,594,81,3392,235,228,125,1237,Rawah,4744
2695,334,16,42,16,1395,182,217,174,3246,Rawah,7746
3283,180,8,1074,146,2266,223,245,156,2223,Commanche,7755
3332,49,10,430,108,3019,224,218,126,3316,Commanche,7756
2718,3,4,127,21,2014,214,232,155,6311,Rawah,7745
3014,208,5,446,98,5479,217,244,164,1590,Rawah,7745
3129,102,10,1254,211,3060,238,226,119,1465,Commanche,7756
2275,282,7,127,35,1722,201,241,179,904,Cache,2703
3394,343,16,702,122,2132,185,213,166,1233,Commanche,7756
2864,118,15,547,51,3320,244,226,107,2838,Rawah,4744
3408,307,19,957,270,4149,165,225,199,2527,Commanche,8776
3075,213,16,330,63,2110,205,253,181,1884,Commanche,7202
2972,187,16,630,66,2851,220,250,158,2115,Commanche,7702
2604,192,12,30,3,2107,219,250,163,1291,Commanche,6102
2913,155,13,190,37,3000,235,241,135,1678,Rawah,7745
2542,3,5,150,0,424,213,230,155,1216,Rawah,4201
2947,12,18,342,14,612,199,200,134,256,Commanche,7757
2600,79,31,60,14,1527,242,167,31,1256,Commanche,2704
2988,166,19,120,-14,2462,232,243,133,1640,Commanche,7757
2959,66,24,190,76,5502,235,185,68,1243,Rawah,7746
3009,26,14,212,48,1290,213,209,130,930,Commanche,7700
3177,348,6,42,4,4268,209,231,160,592,Commanche,7202
2706,263,8,182,39,1159,201,244,182,1742,Rawah,7746
2318,51,19,234,104,1620,226,197,98,836,Cache,2703
3087,248,9,134,-20,2431,200,247,185,566,Commanche,7756
2956,27,13,495,87,2277,214,212,132,2096,Commanche,7700
2730,77,8,582,130,1410,230,226,129,2666,Rawah,4744
3162,349,9,342,125,2184,204,225,160,1050,Commanche,7756
3001,207,22,120,2,2230,199,254,181,1824,Commanche,7202
2938,162,20,234,37,366,235,241,128,865,Commanche,4758
3097,44,29,295,50,4943,212,164,68,2657,Rawah,7745
2849,100,20,362,101,2469,249,208,78,361,Commanche,4703
2733,55,15,150,4,1414,228,207,108,2125,Rawah,4744
3143,176,8,175,1,1054,224,245,154,2052,Rawah,7201
2709,29,12,255,30,2305,216,214,133,1892,Commanche,7756
2892,338,26,376,164,3288,156,194,172,1490,Rawah,7745
2933,266,9,553,20,3529,197,244,187,3931,Rawah,4744
3197,137,9,258,13,3396,234,237,134,459,Commanche,7201
2640,64,22,0,0,1138,234,189,76,1995,Rawah,7746
3052,93,9,636,-130,1550,234,227,125,1091,Rawah,7202
3172,184,14,150,9,2353,223,249,156,875,Rawah,7202
3174,318,31,301,-61,3391,126,196,202,2041,Rawah,7700
2863,104,6,256,43,2165,230,233,136,2874,Rawah,7746
2429,81,14,362,42,819,238,214,103,808,Cache,2703
2932,349,15,361,4,1867,190,213,160,2915,Commanche,7756
3090,26,6,150,6,5112,217,227,146,1082,Rawah,7745
2190,283,26,42,25,1177,138,230,227,825,Cache,4703
3063,333,14,90,6,331,187,221,173,721,Neota,7201
3049,137,10,446,-9,1113,236,236,131,1451,Rawah,7745
2913,252,18,85,20,4979,177,249,208,1312,Rawah,7746
3153,111,11,201,20,484,238,229,119,2642,Neota,7202
3000,15,7,277,23,1342,214,226,149,1651,Commanche,7101
3341,313,24,768,168,876,150,215,202,510,Neota,7757
3131,60,8,162,4,1738,226,224,132,708,Commanche,7755
2953,23,12,182,32,2289,213,215,137,2073,Commanche,7201
3195,191,12,531,43,5891,219,249,162,1200,Rawah,7745
2939,336,33,201,105,5597,131,176,173,4805,Rawah,7700
3172,77,9,420,131,1107,232,224,125,1279,Commanche,7756
3070,311,21,618,53,1565,160,220,199,765,Commanche,7755
3017,315,12,108,5,904,189,230,181,1248,Neota,7201
2996,50,11,30,-7,2059,225,216,124,3472,Rawah,7202
2637,66,25,90,-32,1131,235,182,65,1900,Rawah,7746
3121,247,22,457,76,3394,169,250,215,1426,Commanche,4758
2985,14,11,541,102,2514,210,217,144,1570,Commanche,7756
3287,343,20,67,14,3640,176,205,166,1560,Rawah,7745
3027,256,6,60,-1,2546,206,244,176,1209,Commanche,7202
3523,3,14,569,144,1410,200,212,148,1926,Neota,8776
2920,341,14,690,169,947,191,219,167,2758,Commanche,7756
2552,78,11,180,11,768,234,220,116,883,Rawah,4201
3348,262,11,30,8,2106,192,246,192,2131,Commanche,7756
2917,95,12,134,9,745,239,222,112,2474,Commanche,7756
2822,203,25,285,-9,1194,199,253,176,1717,Commanche,2705
2971,13,9,228,-24,840,212,222,148,2040,Commanche,7756
2958,45,5,175,19,2244,221,229,143,1924,Rawah,7745
2691,34,23,277,123,1170,210,184,101,872,Commanche,7757
3011,313,11,240,41,366,189,231,182,335,Neota,7201
3215,158,10,170,3,940,231,242,141,2375,Commanche,7202
3330,146,7,277,-35,3095,230,239,142,576,Commanche,8771
2847,180,15,190,15,1150,224,248,152,1741,Commanche,4703
2933,34,15,313,145,1839,216,205,120,2620,Commanche,7757
2934,6,11,541,169,1100,207,219,149,2770,Commanche,7757
2771,33,12,127,15,2942,218,214,131,5347,Rawah,4744
2992,322,10,313,57,5066,194,230,176,1952,Rawah,7745
2777,358,15,362,83,1158,196,211,152,1072,Commanche,7756
3184,24,13,741,103,1452,213,211,133,2559,Commanche,7756
3184,88,16,663,248,1316,242,211,93,2460,Commanche,7757
2929,123,13,247,20,4676,241,230,116,1902,Rawah,7745
2979,108,9,0,0,3684,236,230,125,5150,Rawah,7745
3246,79,6,90,-7,4298,228,229,135,2086,Rawah,8771
3176,308,31,497,173,537,122,204,214,1897,Commanche,7700
3132,84,4,218,-16,1342,226,232,141,2145,Rawah,7202
3303,83,8,42,0,3510,231,227,128,2539,Commanche,7202
2937,335,11,201,-1,1831,196,226,169,108,Commanche,7202
2253,358,36,108,56,1170,143,152,130,604,Cache,4703
3306,274,17,361,88,4073,173,242,208,1742,Commanche,7201
2989,11,7,240,49,1338,213,225,150,648,Commanche,7202
3328,152,19,124,40,2362,240,237,118,297,Commanche,8772
2315,343,15,297,31,1221,188,216,166,904,Cache,2703
2895,0,5,391,18,3734,213,231,156,3392,Rawah,4744
2501,82,5,0,0,1307,227,231,138,4487,Rawah,6731
3003,160,8,450,-17,1208,228,242,146,1414,Commanche,7756
2798,74,32,371,165,1006,238,163,31,741,Commanche,4758
2781,35,18,255,85,1092,215,198,113,1739,Commanche,4703
3059,111,21,247,67,3092,251,211,78,930,Commanche,7757
3334,266,10,120,12,3746,195,245,188,1860,Commanche,8771
2947,43,22,120,11,1282,219,187,94,1320,Commanche,7700
3218,277,12,849,200,4272,186,242,195,2263,Rawah,7745
2630,150,16,42,9,1071,239,238,124,6341,Rawah,7745
2375,10,10,234,30,1423,209,220,148,516,Cache,2717
3283,312,7,295,40,1392,202,235,173,2001,Neota,7202
2928,132,12,95,14,3568,239,234,123,2240,Rawah,4744
3244,184,3,30,4,5391,220,241,157,579,Rawah,8771
3203,81,5,277,-19,4132,226,231,140,1209,Rawah,8771
2796,115,23,108,12,3209,252,211,74,1806,Rawah,7745
2763,24,21,335,69,1690,204,190,115,1025,Rawah,7745
