Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
2787,298,34,201,112,1879,106,205,228,1243,Commanche,4758,2
3318,31,21,742,27,1908,209,189,107,2717,Neota,7757,2
3234,61,7,30,2,2362,226,225,133,2743,Rawah,8771,1
2676,279,16,108,-9,1648,174,240,206,666,Commanche,7757,2
3063,313,10,443,39,816,193,233,179,997,Neota,7202,2
3279,80,4,216,11,1170,225,232,142,2072,Rawah,8771,1
2708,21,17,120,27,2471,207,201,127,2271,Rawah,7745,2
2931,328,11,283,27,3119,194,228,173,2101,Commanche,7201,1
3164,37,17,360,58,2257,217,199,112,1510,Commanche,7756,2
3142,309,3,690,61,1673,211,237,165,2828,Commanche,7756,1
2367,256,23,457,7,228,159,247,221,731,Cache,4703,3
2751,347,4,30,-1,1679,211,232,159,2634,Rawah,7202,2
3089,49,34,90,52,2420,212,146,42,979,Commanche,7757,1
3173,7,8,424,87,3031,211,225,151,1664,Commanche,7755,1
3180,336,16,577,159,895,183,217,172,1865,Commanche,7700,1
2813,345,23,395,125,2539,168,197,163,2109,Rawah,7745,2
3424,141,21,323,195,3721,246,229,101,3114,Commanche,8772,7
3252,135,10,30,-3,1464,237,236,129,2844,Rawah,7201,1
3281,74,11,162,13,5805,233,219,116,624,Rawah,7201,1
2855,59,19,150,42,3054,231,197,92,2071,Commanche,7757,2
2909,66,19,492,138,612,235,199,88,1430,Rawah,7745,2
2884,133,12,95,7,607,239,234,123,1862,Rawah,7745,2
3571,111,27,912,286,2452,254,199,54,1240,Rawah,8776,1
2950,7,17,335,8,1994,196,203,141,2964,Commanche,7756,2
2707,125,9,30,5,2601,236,234,128,4784,Rawah,7102,2
2257,282,25,190,-17,443,145,233,224,531,Cache,4703,3
2875,47,12,190,68,2297,224,214,123,2184,Commanche,7757,1
3501,45,17,787,267,2255,222,201,107,1634,Rawah,8776,1
2966,286,13,30,3,95,183,239,196,992,Rawah,7201,1
2939,199,13,162,23,5282,215,251,168,3545,Rawah,7745,2
2825,359,10,384,74,2618,205,222,154,2679,Rawah,7745,2
3147,349,17,175,41,3776,186,209,159,3301,Commanche,7700,1
3226,176,10,180,19,4374,226,246,152,2359,Commanche,7757,1
2997,187,17,210,30,4540,220,250,158,1802,Rawah,7745,2
3279,124,7,900,163,2282,232,235,136,2381,Commanche,7755,1
3000,351,6,30,0,3852,210,230,159,1284,Rawah,7746,2
2933,24,16,541,138,2992,209,203,127,1091,Commanche,4703,2
3364,180,4,30,0,2804,221,242,156,685,Commanche,8771,7
2131,275,36,90,56,1455,103,221,244,824,Cache,4703,3
2547,104,9,228,44,934,235,229,126,1445,Commanche,2705,2
3084,172,26,255,68,2903,226,241,130,1410,Commanche,7757,2
2991,227,17,212,71,2979,194,253,193,983,Commanche,4758,2
3143,142,25,361,91,371,246,225,91,543,Commanche,7756,2
2789,29,10,418,66,3034,217,219,137,1282,Commanche,7756,2
3217,25,8,212,6,1899,216,223,143,871,Commanche,7755,1
3018,98,5,350,14,5442,228,233,138,4168,Rawah,7102,1
2750,17,6,85,-7,1866,215,228,150,1114,Rawah,4744,2
2845,96,7,212,27,2516,232,230,131,2809,Rawah,7745,2
3267,124,18,42,8,1742,247,225,99,1722,Neota,7757,2
3290,274,10,990,180,1651,193,243,189,2681,Commanche,7755,1
2979,198,13,480,93,1657,216,251,167,1873,Commanche,7757,2
2939,62,20,190,57,2550,233,196,87,1919,Commanche,7757,1
2998,90,5,350,33,5288,228,231,137,5866,Rawah,4744,2
2940,278,21,277,9,2030,157,238,218,1370,Commanche,7755,2
2397,85,13,180,71,972,238,217,108,1260,Cache,2717,6
2811,137,15,60,8,2309,242,233,115,1128,Commanche,4758,5
3085,12,18,503,-5,1489,200,202,135,3512,Commanche,7755,1
3397,344,10,426,58,1530,201,225,163,1216,Commanche,8771,7
3356,63,19,384,149,2118,233,198,90,2190,Commanche,7757,1
2857,34,12,0,0,1935,218,213,129,1782,Commanche,4758,2
2773,85,9,30,4,2190,233,225,124,1242,Commanche,7202,5
1935,272,29,30,21,150,131,234,234,787,Cache,2706,6
3034,339,3,42,-5,3301,212,234,160,1087,Commanche,7756,2
2898,226,26,190,78,2311,175,253,205,1961,Commanche,4758,2
3081,80,13,240,34,4474,237,217,109,2554,Rawah,7745,2
2427,286,17,366,-22,990,170,237,207,120,Cache,4703,6
2679,51,3,90,5,120,221,232,147,2340,Rawah,7745,2
3279,95,22,306,41,1678,249,202,71,2601,Rawah,8772,7
3105,308,14,446,-33,2136,181,230,189,560,Commanche,7201,1
2972,128,18,162,44,4101,247,226,101,2358,Rawah,7746,2
2379,98,19,384,182,841,248,209,81,1523,Cache,2717,4
2927,80,22,342,100,1136,243,196,73,408,Rawah,7746,5
2945,104,9,0,0,4302,236,229,124,2081,Rawah,7102,2
2981,196,11,277,32,1426,217,249,165,1443,Commanche,7755,2
3127,177,12,180,4,2088,226,247,151,636,Rawah,7201,1
2724,168,8,134,15,942,227,243,150,1952,Rawah,4744,1
2780,14,34,212,94,1690,169,151,101,983,Commanche,7757,2
2366,9,25,382,159,1091,184,182,128,67,Cache,4703,3
2382,30,24,201,112,767,205,181,101,811,Cache,4703,6
3011,355,10,339,9,2664,204,222,157,1266,Rawah,7202,1
2681,74,10,0,0,1300,232,222,122,2028,Rawah,7745,2
2368,74,17,108,0,480,238,206,93,569,Cache,2703,3
2895,335,20,297,35,787,171,209,175,1369,Commanche,7757,2
2888,300,7,0,0,3129,202,237,175,2468,Rawah,7745,2
2890,93,9,162,5,4848,234,227,125,1448,Rawah,7202,2
2945,25,12,192,16,3628,213,213,134,6119,Rawah,7745,2
3294,225,6,518,99,5195,212,245,170,1052,Rawah,7745,2
2782,172,16,192,66,573,229,246,143,2145,Commanche,2705,2
2623,354,25,150,50,2223,171,189,149,2366,Commanche,4704,2
2600,288,1,182,80,1146,216,238,159,636,Commanche,4704,2
2734,314,19,366,157,1104,167,222,194,2103,Commanche,4758,2
3167,101,4,60,0,2101,226,234,144,4221,Neota,7101,1
2989,157,13,541,103,1724,234,241,136,1989,Commanche,7756,2
2863,97,28,190,58,2698,251,189,47,1116,Commanche,4703,2
3191,339,16,553,52,2100,184,215,169,331,Commanche,7757,1
3037,192,8,828,131,5953,220,247,161,3546,Rawah,7745,2
2983,49,10,124,13,3692,224,218,127,966,Rawah,7745,2
2923,73,9,351,-4,836,230,223,126,2345,Rawah,7202,2
3080,215,8,458,66,2324,213,247,170,1476,Commanche,7756,2
2254,329,25,182,62,1158,154,202,184,342,Cache,4703,3
2663,26,18,85,14,1890,209,199,122,992,Commanche,4703,2
3231,210,12,120,14,1260,211,251,174,658,Commanche,7756,1
3299,194,13,618,85,841,218,250,164,2708,Commanche,7202,2
3064,187,6,108,7,2520,221,244,158,3655,Rawah,7202,1
2792,145,21,90,7,2297,244,231,105,953,Commanche,4758,2
3178,258,13,108,16,1836,187,247,198,2201,Commanche,7757,1
2796,62,10,234,6,2797,229,218,121,2349,Rawah,4744,2
3377,125,19,190,48,955,248,223,94,4002,Neota,8771,2
2471,75,15,108,28,268,237,212,103,1847,Cache,2717,3
3187,160,14,180,0,2224,234,242,135,1604,Commanche,7709,1
3284,315,1,525,85,607,216,237,159,1200,Neota,7202,1
3061,51,15,570,116,1559,226,207,111,3129,Commanche,7757,2
3197,358,5,150,14,5410,211,230,156,2430,Rawah,7201,1
2906,81,15,60,10,3769,239,213,101,5059,Rawah,7746,1
3241,27,17,553,98,2293,211,202,123,2457,Commanche,7700,1
3198,279,16,60,19,4368,175,241,204,3182,Rawah,7745,1
2967,89,9,210,-3,2300,234,225,122,1891,Rawah,7745,1
2762,2,20,150,36,3061,187,197,143,6245,Rawah,7745,2
3150,147,8,247,11,1129,232,239,140,2230,Rawah,7202,1
2933,63,2,218,20,3743,221,234,150,4482,Rawah,7202,2
2914,39,13,805,80,2320,220,210,122,1124,Commanche,4704,2
3185,47,10,553,43,2892,224,219,129,4818,Rawah,7745,1
3080,180,7,272,39,721,223,245,156,1556,Commanche,7201,2
2999,138,7,85,5,351,231,238,139,1754,Commanche,7202,1
3072,354,5,95,8,3136,212,231,157,1041,Rawah,7745,2
3104,47,10,30,4,2828,224,217,127,3131,Commanche,7700,2
3152,118,22,510,-42,726,251,214,79,1124,Neota,7756,2
2781,18,32,190,64,3168,179,157,99,1679,Rawah,7745,2
2888,54,4,0,0,1784,222,231,144,955,Commanche,7756,1
3035,132,6,518,125,1992,229,237,141,2455,Commanche,7756,2
2204,222,12,330,185,480,204,252,182,162,Cache,2706,3
3006,302,16,150,41,268,173,231,197,782,Rawah,7201,1
3175,39,10,339,58,900,221,217,130,2139,Commanche,7201,1
3027,6,10,450,51,5355,208,222,150,1200,Rawah,7745,2
2908,222,27,258,118,3116,176,253,201,1471,Commanche,2705,2
2506,41,9,268,-13,990,221,219,132,4810,Rawah,6731,2
3104,340,16,350,81,2751,184,214,169,824,Rawah,7745,1
3009,101,14,573,207,577,242,221,106,1140,Rawah,7745,2
2975,321,10,268,-7,2958,195,231,175,2012,Rawah,7745,2
3189,5,21,384,48,2311,188,194,139,1345,Commanche,7756,2
2611,339,15,319,54,497,185,216,169,918,Commanche,4704,3
3158,90,17,360,117,1080,243,211,92,1364,Commanche,7756,2
3354,310,11,484,117,3233,189,232,183,3371,Commanche,7756,7
2319,216,18,319,62,830,199,254,186,671,Cache,2717,3
2761,127,12,30,7,2068,240,232,121,2965,Rawah,4744,2
2890,338,19,150,40,5932,176,210,171,4621,Rawah,7700,2
3117,18,10,95,3,5130,212,219,143,2295,Rawah,7202,2
3133,245,10,335,42,1090,200,248,185,1252,Commanche,7202,1
2309,327,19,60,32,1550,170,215,183,636,Cache,4703,6
3399,274,15,309,89,3672,180,243,202,1180,Rawah,8772,1
3420,95,6,268,-2,1048,229,231,136,892,Neota,8771,7
2815,156,5,382,24,2155,225,240,150,2067,Rawah,4744,2
3141,91,10,67,4,2112,235,225,120,2079,Rawah,7745,1
3146,45,7,420,-28,3912,222,224,137,4440,Rawah,7202,1
3402,187,15,395,67,2911,221,250,159,1677,Commanche,7756,1
3181,283,14,543,139,3257,181,240,198,1263,Commanche,7756,1
2554,89,9,210,33,170,234,225,122,815,Cache,2717,2
3051,51,3,60,6,4713,221,232,147,1084,Rawah,7202,2
3026,67,7,395,3,2821,228,226,132,1418,Commanche,7756,2
2652,18,9,0,0,1368,213,220,144,1871,Commanche,4704,2
3060,29,21,417,17,1084,208,189,110,2032,Commanche,7700,1
2433,344,26,175,83,932,160,191,164,646,Cache,4703,6
3343,135,5,616,96,1209,229,238,143,2353,Commanche,7756,1
3264,223,8,360,85,4670,210,248,174,3104,Rawah,7201,1
3053,140,11,60,0,870,237,237,129,277,Commanche,7202,2
3004,359,19,319,34,1048,187,201,148,726,Commanche,7757,2
2861,24,17,108,24,509,209,202,125,342,Commanche,7755,2
2937,281,8,30,2,4811,197,241,184,2017,Rawah,7745,5
3254,16,15,854,63,2078,206,207,136,618,Commanche,7201,1
2667,45,11,277,67,1273,223,215,125,2155,Rawah,7746,2
2841,300,7,339,43,953,202,237,175,268,Commanche,7756,2
3258,141,18,492,100,5268,243,233,112,1637,Rawah,7746,1
3005,30,14,577,0,2458,215,208,126,2352,Commanche,7700,2
2708,346,4,382,15,1857,212,233,159,6062,Rawah,4744,2
2763,306,11,30,1,2779,190,234,184,6212,Rawah,7745,2
2904,276,28,95,22,5551,134,233,232,949,Rawah,7745,2
3305,297,8,182,24,1570,196,238,181,1549,Commanche,7756,1
3014,56,5,240,39,4213,224,228,140,5117,Rawah,7745,2
3126,229,25,300,65,2993,174,253,207,285,Commanche,4758,2
2764,39,9,124,8,1919,221,219,133,1670,Rawah,4744,2
2763,59,16,210,105,1315,231,205,102,2067,Commanche,7757,2
2669,335,31,182,58,1921,137,183,176,2550,Commanche,4703,6
2855,72,31,182,81,4160,237,163,34,778,Rawah,7745,2
2696,85,14,400,96,1357,240,215,102,2394,Rawah,7746,2
3278,18,6,510,8,3618,216,227,149,1020,Commanche,7201,7
3157,58,12,170,22,4711,228,214,117,2814,Rawah,7745,1
2709,45,13,201,14,2707,223,211,120,849,Commanche,4703,2
3209,139,16,295,-14,1032,242,233,116,2588,Rawah,7201,1
2871,148,13,124,21,2856,237,238,129,2398,Rawah,7745,2
2960,247,19,216,77,2976,176,251,209,2054,Commanche,4758,2
2741,286,16,60,25,2347,175,238,203,162,Commanche,7757,2
2778,294,11,218,46,192,188,237,189,2115,Commanche,4703,2
2781,124,14,212,86,1249,243,229,111,684,Commanche,7756,2
2287,21,33,60,39,976,178,151,91,819,Cache,4703,3
2493,45,8,218,16,964,222,223,136,4242,Rawah,6731,2
3105,142,19,234,64,690,244,232,109,450,Commanche,7755,1
2991,294,9,732,-129,1639,194,238,184,2096,Commanche,7755,2
3061,175,10,242,31,4883,226,246,151,1846,Rawah,7746,1
3114,192,25,127,30,2734,209,250,161,1167,Commanche,7202,2
2736,85,11,30,-9,1425,236,221,114,2377,Rawah,7202,5
3312,204,17,234,61,3463,208,253,175,481,Commanche,7755,1
2348,216,27,150,78,1236,183,253,194,433,Cache,2702,6
2939,115,15,150,7,4468,245,224,104,1816,Rawah,7746,2
2750,26,10,85,1,1218,215,218,138,2280,Rawah,7745,2
3138,90,3,170,3,4134,224,234,146,1727,Rawah,7202,2
2557,353,8,67,4,1622,207,227,158,1697,Commanche,2703,5
2548,318,18,0,0,1719,169,221,190,1456,Commanche,4758,6
2388,17,22,379,232,1084,196,190,123,1195,Cache,2717,3
3068,88,16,67,11,503,242,211,93,573,Commanche,7755,2
2975,97,6,60,-6,5379,229,232,137,2096,Rawah,7202,1
3001,168,19,1053,205,2678,232,243,135,1295,Commanche,4758,2
2935,147,8,268,15,4831,232,239,140,2638,Rawah,7746,2
3104,299,6,30,4,876,202,238,175,1865,Neota,7700,1
2393,52,11,297,93,424,226,216,123,395,Cache,2705,3
3229,333,3,366,23,420,212,235,161,1500,Commanche,7756,2
3037,272,6,350,53,3144,204,242,176,603,Commanche,7756,2
3452,45,8,285,0,1689,223,223,135,3587,Neota,8703,1
2877,322,12,67,13,2816,190,228,178,1905,Commanche,7201,1
2978,3,13,382,59,5009,201,214,149,5743,Rawah,4744,1
3126,106,8,108,17,2813,235,230,127,3443,Rawah,7746,1
3237,253,16,153,19,3118,182,249,204,1168,Commanche,7755,1
3150,186,5,313,38,1510,221,243,158,2325,Commanche,7756,1
3114,318,11,277,78,674,191,230,179,1237,Neota,7202,1
3239,265,25,120,18,2155,149,242,226,3233,Rawah,7745,1
3135,315,0,0,0,4052,217,237,157,1579,Rawah,7202,2
3236,58,16,543,182,3655,230,206,104,1850,Commanche,7755,1
2898,83,19,30,-9,301,243,204,83,511,Rawah,7745,1
2670,57,20,182,96,1182,230,194,89,930,Commanche,7757,2
2787,137,8,150,-2,2713,233,237,135,2296,Rawah,4744,2
3024,135,15,450,157,5953,243,232,115,4078,Rawah,7746,2
2860,139,10,67,-4,1061,235,237,132,2438,Commanche,6102,2
3203,100,4,335,20,5434,227,234,142,2306,Rawah,7201,1
2877,103,8,124,20,4025,234,230,127,6216,Rawah,4744,2
3090,234,12,162,8,2321,199,251,188,351,Commanche,7755,2
3005,147,7,481,231,4428,229,239,143,693,Rawah,7745,2
2637,169,22,85,32,2012,230,243,133,1530,Commanche,2705,2
3282,94,18,228,49,2012,246,210,87,1403,Rawah,8772,7
3225,248,16,134,14,3077,183,250,203,1126,Commanche,7755,1
3229,14,10,234,31,731,211,220,145,1869,Neota,7202,1
2754,26,13,268,15,1426,213,211,132,2415,Rawah,7745,2
3249,159,20,467,88,3501,237,239,124,765,Commanche,7757,1
2948,316,15,240,62,1744,178,225,187,1236,Commanche,7755,2
2914,24,9,616,116,3273,216,222,142,646,Commanche,7757,2
2096,338,8,0,0,1377,204,229,165,872,Cache,6102,4
2967,340,15,108,27,1945,188,217,168,659,Commanche,7700,2
3132,90,3,268,-7,4576,224,234,146,1836,Rawah,7101,1
2436,11,14,285,7,750,204,210,141,1113,Cache,4703,6
3095,61,7,351,24,1867,226,225,133,2212,Rawah,7745,2
3185,316,19,417,100,351,166,220,193,1214,Neota,7201,1
2965,23,15,180,20,1919,210,207,130,3262,Commanche,7757,1
3177,302,23,365,84,306,148,221,210,966,Neota,7201,1
3282,119,14,0,0,1304,243,227,109,1253,Rawah,8703,1
2877,214,14,175,12,2370,205,253,181,2335,Commanche,6102,2
3151,116,13,342,80,90,242,227,112,1006,Commanche,7756,2
3025,100,9,60,7,1831,236,227,122,1667,Rawah,7202,1
2753,31,23,270,122,1279,207,184,103,1994,Commanche,7757,2
2878,56,27,218,80,240,226,171,61,769,Rawah,7745,1
2936,101,6,752,141,2960,230,232,135,1549,Commanche,4703,2
2991,318,24,366,134,5958,150,210,197,4826,Rawah,7700,2
3098,113,8,30,6,5342,234,232,129,957,Rawah,7102,1
2973,84,9,30,0,2221,233,225,125,2831,Commanche,7756,2
3373,0,2,120,7,2605,216,234,156,2400,Rawah,8772,7
3151,27,6,242,16,2940,217,226,145,984,Rawah,7202,2
2540,130,7,210,-2,433,232,236,136,1177,Rawah,4201,2
2903,359,20,175,46,726,186,199,147,1760,Commanche,7700,2
3037,27,7,474,65,5440,218,225,144,6367,Rawah,4744,1
2215,84,23,95,54,618,245,195,68,722,Cache,2702,3
3067,339,7,150,13,3744,204,230,164,564,Commanche,7201,1
3070,22,13,134,0,2658,212,213,136,2962,Commanche,7756,2
3103,338,5,242,37,2361,209,233,162,2436,Commanche,7756,2
2453,278,8,124,3,924,197,242,184,175,Cache,2703,6
2346,320,11,42,4,1475,191,229,178,371,Cache,6101,6
2744,305,10,331,48,2077,194,235,181,2113,Rawah,4744,2
3219,28,8,0,0,3046,217,223,141,1932,Rawah,7201,1
2996,72,21,570,186,571,239,195,77,870,Rawah,7745,2
3204,53,5,404,25,5753,223,229,142,2818,Rawah,7745,2
2474,138,12,446,118,837,238,236,127,1358,Cache,2717,6
2942,309,12,376,27,2821,186,232,186,1471,Commanche,7755,2
2939,198,9,551,43,6003,218,248,165,5701,Rawah,6101,2
3005,44,13,234,57,607,222,211,121,1575,Commanche,7756,2
3018,32,19,1092,149,2646,212,195,112,1150,Commanche,7700,2
3102,90,12,30,-9,2552,238,221,112,1293,Commanche,7202,1
2736,42,14,256,5,1572,222,208,118,417,Commanche,7755,1
3058,283,15,67,16,2962,177,239,202,1642,Commanche,7700,1
